season,team,team_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
2020,Los Angeles Dodgers,119,1586,15,34.6,113.1,90,94.6,85.3,453,186,401,697,17.2,43.9,164,10.3,7.1
2020,San Diego Padres,135,1519,11.7,34.7,115.7,89.8,93.8,87.2,458,170,407,640,16.8,42.1,151,9.9,6.8
2020,Atlanta Braves,144,1509,14.7,36.4,115.6,89.5,93.8,85.3,495,183,411,646,14.5,42.8,156,10.3,6.7
2020,Chicago White Sox,145,1490,11.2,33.2,115.8,88.7,93.8,85.4,466,163,402,596,14,40,142,9.5,6.3
2020,Philadelphia Phillies,143,1486,14.1,33.8,114.7,88.2,92.8,84.8,470,171,395,560,14,37.7,131,8.8,5.9
2020,Toronto Blue Jays,141,1537,11.9,32.8,117.4,89.5,94,86.3,466,169,402,644,15.8,41.9,133,8.7,5.9
2020,San Francisco Giants,137,1537,14.7,35,114.6,88.9,92.8,85.9,480,177,395,606,14.5,39.4,128,8.3,5.7
2020,Boston Red Sox,111,1551,11,33.1,116.7,88.5,92.7,85.3,449,169,402,568,12.9,36.6,123,7.9,5.3
2020,Cincinnati Reds,113,1315,14.3,33.4,113.2,88.2,92.6,83.8,449,181,396,491,12.8,37.3,112,8.5,5.3
2020,Tampa Bay Rays,139,1381,11.2,32.4,114.8,88.9,94,84.8,459,164,401,540,13.2,39.1,119,8.6,5.3
2020,New York Mets,121,1539,9.8,33.3,118.4,88.4,93.2,85.5,456,158,399,570,13.3,37,116,7.5,5.1
2020,Minnesota Twins,142,1425,15.5,33.3,115.8,89.1,93.2,85.7,458,177,404,565,14.2,39.6,110,7.7,5.1
2020,New York Yankees,147,1447,11.8,33.4,121.3,89.2,93.4,86.1,483,167,395,567,14.5,39.2,111,7.7,5
2020,Milwaukee Brewers,158,1348,12,36.2,113.3,88.2,92.4,85.7,460,164,400,495,12.7,36.7,107,7.9,4.9
2020,Oakland Athletics,133,1400,17.1,33.7,115.9,89,93.1,85.7,464,180,404,520,13.4,37.1,107,7.6,4.9
2020,Los Angeles Angels,108,1554,13.7,32.6,115.5,89.1,92.7,87.2,450,167,403,574,14.7,36.9,108,6.9,4.7
2020,Detroit Tigers,116,1341,12.6,34.5,114.4,88.5,92.8,85.8,450,166,398,528,13.2,39.4,97,7.2,4.7
2020,Texas Rangers,140,1408,12.5,31.3,113.5,88.6,93.4,85.7,451,165,396,524,13.6,37.2,100,7.1,4.7
2020,Pittsburgh Pirates,134,1433,10.2,31.9,114.2,88.1,92.1,85.9,450,159,405,528,13.4,36.8,99,6.9,4.6
2020,Washington Nationals,120,1543,11.2,33.3,113.3,87.7,91.6,84.8,466,164,403,545,13.1,35.3,102,6.6,4.6
2020,Baltimore Orioles,110,1537,14,33.5,113.2,87,91.5,84.2,427,166,390,515,11.7,33.5,103,6.7,4.6
2020,Kansas City Royals,118,1479,11.6,33.3,114,87.1,92.2,83.4,458,165,406,502,12.4,33.9,101,6.8,4.6
2020,Chicago Cubs,112,1364,11.4,31.5,116,88.9,93.5,86.3,455,161,401,547,13.8,40.1,101,7.4,4.6
2020,Seattle Mariners,136,1399,12.7,32.2,112.8,87.8,92.5,84.8,446,165,400,504,13.3,36,98,7,4.5
2020,St. Louis Cardinals,138,1295,12.8,35.6,111.5,87.3,92.8,82.9,446,169,398,451,12.6,34.8,90,6.9,4.5
2020,Cleveland Indians,114,1465,12.6,33.1,114.7,88.2,93,85.3,462,163,401,522,12.7,35.6,93,6.3,4.1
2020,Miami Marlins,146,1413,10.2,32.1,112.6,87.4,91.3,84.6,455,156,401,487,12.3,34.5,88,6.2,4.1
2020,Houston Astros,117,1571,14.4,32.4,115,88.3,92,85.9,461,172,397,553,14,35.2,90,5.7,4
2020,Colorado Rockies,115,1540,13.3,33.4,112.8,87,90.7,84.4,468,173,410,489,11.4,31.8,88,5.7,3.9
2020,Arizona Diamondbacks,109,1560,12.5,32.1,115.9,88,91.8,85.6,451,166,401,553,13.6,35.4,85,5.4,3.8
